STATION,ADDRESS,LOCALITY,ALTADDRESS,LONG_GDA94,LAT_GDA94,LONG_GDA20,LAT_GDA20
GLENWOOD RURAL,CORNER OF JAMES ROAD AND ARBOR TEN ROAD,GLENWOOD ,,152.60679853600004,-25.930632104999972,152.60680480354844,-25.93061949602767
GLOUCESTER RURAL,42 OLIVE STREET,DINGO BEACH ,,148.49698023100007,-20.092605333999927,148.4969874776624,-20.09259230507664
GOGANGO RURAL,14 WILLS STREET,GOGANGO ,,150.04336428300007,-23.665015574999927,150.04337105070914,-23.66500270769264
GOODWOOD RURAL,"LOT 121, GOODWOOD ROAD",GOODWOOD ,,152.41051692100007,-25.14639233099996,152.41052330151993,-25.14637969637323
GOOMBOORIAN RURAL,TIN CAN BAY ROAD,GOOMBOORIAN ,,152.7759522240001,-26.08735875499997,152.7759584555424,-26.087346164042966
GOOMBUNGEE RURAL,CORNER OF COOKE STREET AND HADENS STREET,GOOMBUNGEE ,,151.85279787900004,-27.29724943399998,151.85280406038507,-27.297236762627897
GOOVIGEN RURAL,STONES CRESCENT,GOOVIGEN ,,150.28466891100004,-24.146110895999982,150.28467560579415,-24.146098054092185
GOWRIE LITTLE PLAIN RURAL,GOWRIE STREET,KINGSTHORPE ,,151.8174322530001,-27.479286143999957,151.81743841634304,-27.479273470678702
GOWRIE LITTLE PLAIN RURAL,JUNCTION DRIVE,GOWRIE JUNCTION ,,151.8969901590001,-27.485820471999943,151.8969963129281,-27.485807806350167
GOWRIE LITTLE PLAIN RURAL,YALANGUR-LILYVALE ROAD,MERINGANDAN WEST ,,151.8814300030001,-27.425068704999944,151.8814361659345,-27.425056037379342
GOWRIE MOUNTAIN RURAL,CORNER OF JANNUSCHS COURT AND ROWLAND COURT,GOWRIE MOUNTAIN ,,151.82172064700012,-27.516468655999972,151.82172680540583,-27.51645598338144
GRACEMERE RURAL,PLATEN STREET,GRACEMERE ,,150.4569635260001,-23.434537854999974,150.4569702803943,-23.434525022703124
GRANDCHESTER RURAL,GILLAMS RD,GRANDCHESTER ,,152.4662809890001,-27.666396850999945,152.4662870590187,-27.66638424202921
GRANTHAM RURAL,1 CHRISTOPHER STREET,GRANTHAM ,,152.20168625000008,-27.57291984699998,152.20169236028556,-27.572907211451447
GRASSTREE RURAL,40 ZELMA STREET,GRASSTREE BEACH ,,149.30627200000004,-21.360734999999977,149.30627906326575,-21.360722049495056
GREAT KEPPEL ISLAND RURAL,GREAT KEPPEL ISLAND RESORT,GREAT KEPPEL ISLAND ,,150.93735000000004,-23.18306999999993,150.93735673835525,-23.183057209347364
GREENBANK RURAL,143-145 ISON ROAD,GREENBANK ,,152.95870069900002,-27.700744932999953,152.9587067112158,-27.70073237312738
GREYMARE RURAL,MOUNTAIN MAID ROAD,WARWICK ,,151.76908584900002,-28.198729192999963,151.76909193068929,-28.198716520692
GUANABA RURAL,33 TARATA ROAD,GUANABA ,,153.25223800000003,-27.93755903899995,153.25224395006342,-27.93754651055091
GUNALDA RURAL,42 BALKIN STREET,GUNALDA ,,152.56300324000006,-25.994612278999966,152.563009504223,-25.99459966622508
GUNALDA RURAL,1301 ANDERLEIGH ROAD,ANDERLEIGH ,,152.68012428500003,-25.999938072999953,152.6801305368093,-25.999925471834384
GUNDIAH RURAL,OLD GYMPIE ROAD,GUNDIAH ,,152.54100793200007,-25.827963728999976,152.54101421849094,-25.827951112714018
GYMPIE SOUTH RURAL,CORNER OF LAWSON ROAD AND REGAN ROAD,MCINTOSH CREEK ,,152.63834423200012,-26.233038402999966,152.63835045974218,-26.23302579957877
HABANA RURAL,YAKAPARI HABANA STREET,HABANA ,,149.07705510900007,-21.038015779999967,149.07706222185206,-21.038002807326
HADEN AND DISTRICT RURAL,COLLINS ROAD,HADEN ,,151.8816274500001,-27.22345281099996,151.88163363714395,-27.223440141807213
HATTONVALE SUMMERHOLM RURAL,WOOLSHED CREEK ROAD,PLAINLAND ,,152.46220000000005,-27.575089229999946,152.4622060817609,-27.57507661990966
HAY POINT RURAL,HAYPOINT ROAD,HAY POINT ,,149.2870698370001,-21.294859703999975,149.28707690822185,-21.294846751303332
HERONVALE RURAL,13 PITCAIN AVENUE,HERONVALE ,,148.29545879700004,-20.10981819999995,148.29546605738238,-20.1098051547799
HERVEYS RANGE RURAL,KATHERINE ROAD,HERVEY RANGE ,,146.45144000000005,-19.375399999999956,146.45144746175052,-19.37538680587254
HOLLYWELL DALGANGAL RURAL,28 MT ROSE STREET,EIDSVOLD ,,151.11784632800004,-25.371053375999963,151.1178528088697,-25.371040619951724
HORSESHOE BAY RURAL,HORSESHOE BAY ROAD,MAGNETIC ISLAND ,,146.86273864700001,-19.12654733599993,146.8627460992766,-19.12653417038086
HOWARD TORBANLEA RURAL,STELEY STREET,HOWARD ,,152.56689349200008,-25.321090802999947,152.56689983662173,-25.321078185153482
ILBILBIE RURAL,PACIFIC AVENUE,ILBILBIE ,,149.44824900800006,-21.680777730999978,149.44825602834544,-21.680764795339545
ILFRACOMBE RURAL,CHURCH STREET,ILFRACOMBE ,,144.5089620000001,-23.488115999999934,144.5089692975022,-23.488102704266446
INNOT HOT SPRINGS RURAL,KENNEDY HIGHWAY,INNOT HOT SPRINGS ,,145.237298,-17.66723499999995,145.23730568012041,-17.667221705203577
IREDALE FLAGSTONE RURAL,LOCKYER CREEK ROAD,HELIDON ,,152.12497026500012,-27.558775924999964,152.12497638534313,-27.55876328189925
IREDALE FLAGSTONE RURAL,SCHOOL ROAD,FLAGSTONE CREEK ,,152.1166280540001,-27.616562339999973,152.11663416820227,-27.616549696546173
IRONPOT RURAL,IRONPOT CREEK ROAD,IRONPOT ,,151.4293499690001,-26.61346171899993,151.4293562760989,-26.613449002019262
IRVINEBANK RURAL,CORNER OF IBIS ROAD AND JESSIE ROAD,IRVINEBANK ,,145.20545216000005,-17.429158351999945,145.20545985991066,-17.429145053006376
JIMBOOMBA RURAL,22 JOHNANNA STREET,JIMBOOMBA ,,153.02506094700004,-27.829085620999933,153.02506693573463,-27.82907306879055
JONDARYAN RURAL,DUKE STREET,JONDARYAN ,,151.59183183200003,-27.368633000999978,151.59183803300058,-27.36862030533616
JULATTEN RURAL,2 MT KOOYONG ROAD,JULATTEN ,,145.34041469200008,-16.594057816999964,145.34042244520168,-16.594044520145353
JUNDAH TOWN RURAL,28 MILES STREET,JUNDAH ,,143.05967543200006,-24.833627561999947,143.0596827709076,-24.833614185846706
KAIMKILLENBUN RURAL,MOFFAT STREET,KAIMKILLENBUN ,,151.4343058070001,-27.060633218999953,151.43431206130202,-27.06062050603335
KALAPA RURAL,BLACK MT ROAD,KALAPA ,,150.26772000000005,-23.51051999999993,150.26772676346624,-23.51050715135728
KALBAR RURAL,"GEORGE STREET, GEORGE STREET, KALBAR QLD 4309",KALBAR ,,152.62394100500012,-27.94080053299996,152.6239470235842,-27.940787941714415
KANDANGA RURAL,MULLER ROAD,DAGUN ,,152.67365753400009,-26.321738194999966,152.67366374735315,-26.32172559578377
