STATION,ADDRESS,LOCALITY,ALTADDRESS,CREWING,LEVYTYPE,LONG_GDA94,LAT_GDA94,LONG_GDA20,LAT_GDA20
MUNDUBBERA,31 BAUER ST,MUNDUBBERA,,A,Class D,151.30176913200012,-25.590733231999934,151.30177556978964,-25.59072049485775
NAMBOUR,678 BLI BLI  RD,NAMBOUR,,P,Class A,152.97204017900003,-26.61687841899993,152.97204632546328,-26.616865851856787
NANANGO,14 ALFRED ST,NANANGO,,A,Class D,151.99861835900003,-26.672493764999956,151.9986245996931,-26.672481102676308
NERANG,139 BEAUDESERT-NERANG RD,NERANG,,P,Class A,153.3251715440001,-27.993044005999934,153.32517747893823,-27.99303148538402
NOOSA HEADS,2 LANGURA ST,NOOSA HEADS,Unit 4 Leo Alley Road (Temp location end 19/12/11),P,Class A,153.09045627900002,-26.408055675999947,153.09046243920963,-26.40804311906944
NORTH MACKAY,49 BEACONSFIELD RD,NORTH MACKAY,,P,Class A,149.16608102400005,-21.099719039999968,149.16608812381534,-21.099706075375693
NORTH ROCKHAMPTON,753 YAAMBA ROAD,PARKHURST,,P,Class A,150.5158143320001,-23.314502237999932,150.51582109381755,-23.31448941001817
OAKEY,5 DESMOND ST,OAKEY,,A,Class D,151.72229761800008,-27.433481119999954,151.72230379714858,-27.433468437239103
PETRIE,4-6 YOUNG ST,PETRIE,,P,Class A,152.97872050800004,-27.268715568999937,152.97872657247018,-27.268703007718436
CRAIGNISH,67 CASTLES ROAD,CRAIGNISH,,A,Class A,152.7268288130001,-25.281909868999946,152.72683514677306,-25.28189726664186
PITTSWORTH,5 KRINKE ST,PITTSWORTH,,A,Class D,151.62723871100002,-27.714143788999934,151.62724486691818,-27.714131099407805
POINT LOOKOUT,85 EAST COAST ROAD,POINT LOOKOUT,,A,Class D,153.51999247700007,-27.426457613999958,153.51999846379837,-27.426445108776214
QUILPIE,61 PEGLER ST,QUILPIE,,A,Class D,144.26708993700004,-26.61940687899994,144.26709701243698,-26.61939359193235
RAINBOW BEACH,25 RAINBOW BEACH ROAD,RAINBOW BEACH,,A,Class D,153.09071505500003,-25.90540909899994,153.09072127727384,-25.905396538044986
RATHDOWNEY,RUNNING CREEK RD,RATHDOWNEY,,A,Class D,152.86523362800006,-28.21080312899994,152.86523958582225,-28.210790563786745
RAVENSHOE,16 THETA ST,RAVENSHOE,,A,Class D,145.48693074300002,-17.60963593699995,145.48693841090412,-17.609622658933215
REDLAND BAY,33 GORDON ROAD,REDLAND BAY,,P,Class A,153.289047857,-27.610897345999945,153.28905384491497,-27.61088481870896
RICHMOND,43 GOLDRING ST,RICHMOND,,A,Class D,143.14079949100005,-20.727719143999934,143.1408071085106,-20.72770574005857
ROBINA,54 INVESTIGATOR DR,ROBINA,,P,Class A,153.37751906900007,-28.075643715999945,153.37752498752423,-28.075631201354454
ROCKHAMPTON,113 KENT ST,ROCKHAMPTON,,P,Class A,150.50824261800005,-23.379495583999983,150.50824937361295,-23.37948275587206
ROCKLEA,93 MEDWAY ST,ROCKLEA,,P,Class A,153.00701914,-27.54148906699993,153.00702516711,-27.541476510713785
ROMA,41 MCDOWALL ST,ROMA,,A,Class D,148.7925683300001,-26.57180255999998,148.79257491992544,-26.571789608581454
ROMA STREET,279 UPPER ROMA ST,BRISBANE CITY,,P,Class A,153.01539137600003,-27.465815987999974,153.01539741175873,-27.465803431955866
SARINA,12 ANZAC ST,SARINA,,A,Class D,149.21406722000006,-21.420737524999936,149.2140742849357,-21.42072456714676
SOUTHPORT,229 NERANG RD,SOUTHPORT,cnr Prince St and Nerang Rd,P,Class A,153.3958195360001,-27.974870616999965,153.39582546554593,-27.974858103426786
SPRINGSURE,52 WOOD ST,SPRINGSURE,,A,Class D,148.09027427400008,-24.117448733999936,148.0902811784689,-24.117435705388388
ST GEORGE,37-39 HENRY ST,ST GEORGE,,A,Class D,148.58260954000002,-28.036922767999954,148.58261600051736,-28.036909810540177
STANTHORPE,54 LOCK ST,STANTHORPE,,A,Class D,151.9346513150001,-28.654183383999964,151.93465732212297,-28.654170731084974
SURAT,45 CORDELIA ST,SURAT,,A,Class D,149.06757953700003,-27.156573653999942,149.0675860361615,-27.156560730282436
SURFERS PARADISE,2794 GOLD COAST HWY,SURFERS PARADISE,,P,Class A,153.42880689100002,-28.01915951799998,153.42881281120356,-28.019147008136315
TARA,21 FRY ST,TARA,cnr Fry And Smallcombe Sts,A,Class D,150.4598608340001,-27.27825861399998,150.4598671681783,-27.278245812949052
TARINGA,26 WHITMORE ST,TARINGA,,P,Class A,152.98710748200006,-27.491368353999974,152.98711351757413,-27.49135579532132
TAROOM,12 KINNOUL ST,TAROOM,,A,Class D,149.7962965040001,-25.63998878999996,149.79630308748025,-25.639975916992036
TEXAS,16 ST JOHN ST,TEXAS,,A,Class D,151.16755167300005,-28.852547253999944,151.16755774427952,-28.85253453004417
THANGOOL,25 STANLEY ST,THANGOOL,,A,Class D,150.57459506700002,-24.487822611999945,150.57460169786066,-24.487809798974105
THEODORE,31 FIFTH AV,THEODORE,,A,Class D,150.07656949600005,-24.947917426999936,150.0765761253768,-24.947904573096576
TIERI,3 MALVERN AV,TIERI,,A,Class D,148.34490864200006,-23.03777330099996,148.34491562595278,-23.037760284217327
TOOGOOLAWAH,20 CRESSBROOK ST,TOOGOOLAWAH,,A,Class D,152.37786636500005,-27.08672663699997,152.377872515803,-27.086714014784107
TOOWOOMBA,11 KITCHENER ST,TOOWOOMBA,,P,Class A,151.95989732100008,-27.56438826899995,151.95990345860037,-27.56437561001148
TORQUAY,227 TORQUAY TCE,TORQUAY,,P,Class A,152.86561302300004,-25.28714598199997,152.8656193426917,-25.287133393482964
TOWNSVILLE,2-8 MOREY ST,TOWNSVILLE,,P,Class A,146.82058856600008,-19.263195894999967,146.82059600995586,-19.26318272736787
TULLY,LOT 600 MURRAY ST,TULLY,,A,Class D,145.92838879300007,-17.933202293999955,145.92839640664113,-17.93318904976794
WALKERSTON,21 DUTTON ST,WALKERSTON,,A,Class A,149.06854532700004,-21.161093730999937,149.06855242873948,-21.16108075864351
WALLANGARRA,53 MARGETTS ST,WALLANGARRA,,A,Class D,151.93087211500006,-28.92035935399997,151.93087808959174,-28.92034670277606
WANDOAN,51 NORTH ST,WANDOAN,Corner North And Waterloo Sts,A,Class D,149.96093154000005,-26.11821203599993,149.96093805532485,-26.118199181272278
WEST LOGAN,2 ORR CRT,HILLCREST,,P,Class A,153.03017397400004,-27.678159936999975,153.03017998132458,-27.678147384115835
WINDSOR,7 TRURO ST,WINDSOR,cnr Truro and Fosbery Sts,P,Class A,153.03319636800006,-27.427715280999962,153.03320240665522,-27.427702726441773
WINTON,69 VINDEX ST,WINTON,,A,Class D,143.03833700400003,-22.387239388999944,143.0383445169776,-22.3872259923066
WISHART,203 DAWSON RD,WISHART,cnr Dawson And Newnham Roads,P,Class A,153.09066994600005,-27.55507713199995,153.09067596238484,-27.55506458422606
WONDAI,82 MACKENZIE ST,WONDAI,,A,Class D,151.87301659500008,-26.319253292999974,151.87302289060634,-26.319240615789163
WOODFORD,2366 D'AGUILAR HIGHWAY,WOODFORD,,A,Class D,152.78037394800003,-26.96345385999996,152.78038007148282,-26.963441276498504
WOODLANDS,1 ABATTOIR ROAD,WOODLANDS,,P,Class A,146.7095467580001,-19.264696037999954,146.70955420993252,-19.264682862067115
WOODRIDGE,95 KINGSTON RD,WOODRIDGE,,P,Class A,153.1169400340001,-27.62682389899993,153.1169460384515,-27.626811354437585
WOOROOLIN,45 ALEXANDER ST,WOOROOLIN,Bunya Hwy,A,Class D,151.81523679200006,-26.409837627999934,151.8152430828729,-26.409824945984568
WULGURU,171 STUART DR,WULGURU,,P,Class A,146.81437861000006,-19.319617495999978,146.81438604971063,-19.319604328378354
WYNNUM,2006 WYNNUM RD,WYNNUM WEST,,P,Class A,153.15337580800008,-27.456218096999976,153.15338183017965,-27.456205554763102
YELARBON,32 TALOOM ST,YELARBON,,A,Class D,150.75410999100006,-28.572300372999962,150.75411614329056,-28.572287608743068
YEPPOON,16 MCBEAN ST,YEPPOON,,C,Class C,150.73712097800012,-23.140665901999967,150.73712773860828,-23.14065309265874
RIPLEY,338-396 RIPLEY RD,RIPLEY,,P,Class A,152.77981601400006,-27.659293461999937,152.7798220508419,-27.659280883952633
BRASSALL,DIAMENTINA BOULEVARD,BRASSALL,,P,CLASS A,152.7247000000001,-27.585099999999954,152.7247060520994,-27.585087415894165
BOLLON,56-58 MAIN ST,BOLLON,,A,Class D,147.4765607270001,-28.031713921999938,147.47656731470218,-28.031700875518926
CLIFTON,KING ST,CLIFTON,,A,Class D,151.90617523000003,-27.926082158999975,151.90618132958724,-27.926069497686527
CUNNAMULLA,1 EMMA STREET,CUNNAMULLA,,A,Class D,145.68456164400004,-28.067965389999983,145.68456843561037,-28.06795221021525
JANDOWAE,55 HIGH ST,JANDOWAE,,A,Class D,151.11062182000012,-26.78174784199996,151.11062814110332,-26.78173509657888
JULIA CREEK,66 BURKE ST,JULIA CREEK,,A,Class D,141.74295820300006,-20.65761982999993,141.7429659392059,-20.6576063458632
MAREEBA,20 MAMMINO ST,MAREEBA,,C,Class B,145.42556807200003,-17.011162599999977,145.42557578885555,-17.01114931258394
POMONA,9-13 RESERVE ST,POMONA,,A,Class D,152.85464886400007,-26.365332139999964,152.854655053551,-26.36531955911101
INGHAM,15 ELEANOR STREET,INGHAM,,C,Class B,146.162541217,-18.649601093999934,146.16254875810336,-18.649587872665276
PORT DOUGLAS,5 PORT DOUGLAS RD,PORT DOUGLAS,,C,Class C,145.46314617300004,-16.499084894999953,145.46315392572657,-16.49907160581031
CHARLEVILLE,96 GALATEA ST,CHARLEVILLE,,A,Class D,146.24114352900006,-26.40146789199997,146.2411504084211,-26.40145473949071
COOLUM,19 RUSSELL STREET,COOLUM,cnr Russell and Elizabeth Sts,C,Class D,153.08713448600008,-26.528853615999935,153.0871406315465,-26.528841059704416
AUGATHELLA,65 CAVANAGH ST,AUGATHELLA,,A,Class D,146.58612680600004,-25.795967738999934,146.5861337036936,-25.795954607207364
ESK,243 IPSWICH STREET,ESK,,A,Class D,152.41842042700011,-27.23528829099996,152.41842655530982,-27.235275673932037
TIN CAN BAY,"LOT 1, SNAPPER CREEK RD",TIN CAN BAY,,A,Class D,152.99536629500005,-25.92627133899998,152.99537252422138,-25.926258768639574
PIMPAMA,1 COX ROAD,PIMPAMA,,P,Class A,153.30262458000004,-27.823120959999983,153.30263053926026,-27.823108435759302
EMERALD,2A ANDREWS RD,EMERALD,,C,Class D,148.1725093770001,-23.54447553999995,148.17251632840978,-23.54446251336814
BEAUDESERT,39 BRISBANE ST,BEAUDESERT,,A,Class C,152.99658413800012,-27.989961024999957,152.99659010939817,-27.98994847119668
EMU PARK,87 HARTLEY ST,EMU PARK,cnr Hartley And Connor Sts,A,Class C,150.82008934400005,-23.26646515899995,150.8200960838004,-23.266452358280784
GORDONVALE,27 GILLES RANGE ROAD,GORDONVALE,,A,Class C,145.7750024280001,-17.106856926999967,145.7750101154217,-17.106843664836493
KINGAROY,25 EDWARD STREET,KINGAROY,cnr Edward and Kent Sts,C,Class C,151.83943189500008,-26.536967876999938,151.83943816835847,-26.536955198313805
MOUNT ISA,35 WEST ST,MOUNT ISA CITY,cnr West And Helen Sts,C,Class A,139.49004193000007,-20.723698836999972,139.4900498482724,-20.723685242386782
WARWICK,23 CANNING ST,WARWICK,,P,Class B,152.0369983800001,-28.215770584999973,152.03700442958902,-28.21575793853942
MOUNT MORGAN,32 MORGAN ST,MOUNT MORGAN,,A,Class C,150.3865881590001,-23.64575262699998,150.38659489742037,-23.645739790116316
GATTON,58 NORTH ST,GATTON,,A,Class C,152.27862962100005,-27.557692240999984,152.2786357248018,-27.557679612817797
BRIBIE ISLAND,10-12 FARADAY ST,BRIBIE ISLAND,,A,Class C,153.15412705200004,-27.06307369299998,153.15413312375955,-27.063061147719818
YARRAMAN,7 TOOMEY ST,YARRAMAN,,A,Class D,151.97925891900002,-26.839309858999968,151.97926514179207,-26.83929719614028
KILKIVAN,CNR WIDE BAY HWY AND CRESCENT ST,KILKIVAN,,A,Class D,152.24267082200004,-26.084328033999952,152.24267710777846,-26.08431539058883
MURGON,64 GORE ST,MURGON,,A,Class D,151.94054602000006,-26.24318547799993,151.9405523176652,-26.243172806658517
