,pubDate,title,description,link,geo:lat,geo:long
74,"Sat, 04 Nov 2023 09:45:11 +1100","258, Coledale Fire Station","759 Lawrence Hargrave Drive, Coledale NSW 2513",https://www.fire.nsw.gov.au/page.php?id=9210&station=76,-34.292758,150.944573
75,"Sat, 04 Nov 2023 09:45:11 +1100","016, Concord Fire Station","153 Concord Road, Concord (North Strathfield) NSW 2137",https://www.fire.nsw.gov.au/page.php?id=9210&station=77,-33.858493,151.092469
76,"Sat, 04 Nov 2023 09:45:11 +1100","259, Condobolin Fire Station","26 Marsden Street, Condobolin NSW 2877",https://www.fire.nsw.gov.au/page.php?id=9210&station=78,-33.088742,147.150815
77,"Sat, 04 Nov 2023 09:45:11 +1100","261, Coolah Fire Station","33 Booyamurra Street, Coolah NSW 2843",https://www.fire.nsw.gov.au/page.php?id=9210&station=79,-31.825199,149.717214
78,"Sat, 04 Nov 2023 09:45:11 +1100","262, Coolamon Fire Station","67 Bruce Street, Coolamon NSW 2701",https://www.fire.nsw.gov.au/page.php?id=9210&station=80,-34.8134496562786,147.202973352741
79,"Sat, 04 Nov 2023 09:45:11 +1100","263, Cooma Fire Station","84 Massie Street, Cooma NSW 2630",https://www.fire.nsw.gov.au/page.php?id=9210&station=81,-36.235439,149.122733
80,"Sat, 04 Nov 2023 09:45:11 +1100","264, Coonabarabran Fire Station","64 Cassilis Street, Coonabarabran NSW 2357",https://www.fire.nsw.gov.au/page.php?id=9210&station=82,-31.2754,149.279055
81,"Sat, 04 Nov 2023 09:45:11 +1100","265, Coonamble Fire Station","95 Castlereagh Street, Coonamble NSW 2829",https://www.fire.nsw.gov.au/page.php?id=9210&station=83,-30.955708,148.389251
82,"Sat, 04 Nov 2023 09:45:11 +1100","266, Cootamundra Fire Station","14 - 16 Adams Street, Cootamundra NSW 2590",https://www.fire.nsw.gov.au/page.php?id=9210&station=84,-34.635976,148.027989
83,"Sat, 04 Nov 2023 09:45:11 +1100","267, Coraki Fire Station","16 Adams Street, Coraki NSW 2471",https://www.fire.nsw.gov.au/page.php?id=9210&station=85,-28.991091,153.286133
84,"Sat, 04 Nov 2023 09:45:11 +1100","268, Corowa Fire Station","57 Riesling Street, Corowa NSW 2646",https://www.fire.nsw.gov.au/page.php?id=9210&station=86,-35.996387,146.392321
85,"Sat, 04 Nov 2023 09:45:11 +1100","269, Corrimal Fire Station","120 Princes Highway, Corrimal NSW 2518",https://www.fire.nsw.gov.au/page.php?id=9210&station=87,-34.368874,150.89811
86,"Sat, 04 Nov 2023 09:45:11 +1100","270, Cowra Fire Station","124 Kendall Street, Cowra NSW 2794",https://www.fire.nsw.gov.au/page.php?id=9210&station=88,-33.834842,148.694268
87,"Sat, 04 Nov 2023 09:45:11 +1100","098, Cranebrook Fire Station","137 - 139 Vincent Road, Cranebrook NSW 2479",https://www.fire.nsw.gov.au/page.php?id=9210&station=89,-33.703391,150.708767
88,"Sat, 04 Nov 2023 09:45:11 +1100","054, Cronulla Fire Station","91 The Kingsway, Cronulla NSW 2230",https://www.fire.nsw.gov.au/page.php?id=9210&station=90,-34.049627,151.147572
89,"Sat, 04 Nov 2023 09:45:11 +1100","271, Crookwell Fire Station","155 Goulburn Street, Crookwell NSW 2583",https://www.fire.nsw.gov.au/page.php?id=9210&station=91,-34.459398,149.471241
90,"Sat, 04 Nov 2023 09:45:11 +1100","036, Crows Nest Fire Station","99 Shirley Road, Crows Nest NSW 2065",https://www.fire.nsw.gov.au/page.php?id=9210&station=92,-33.828192,151.199986
91,"Sat, 04 Nov 2023 09:45:11 +1100","272, Culcairn Fire Station","5 Black Street, Culcairn NSW 2660",https://www.fire.nsw.gov.au/page.php?id=9210&station=93,-35.665678,147.035905
92,"Sat, 04 Nov 2023 09:45:11 +1100","277, Dapto Fire Station","88 Byamee Street, Dapto NSW 2530",https://www.fire.nsw.gov.au/page.php?id=9210&station=94,-34.495154,150.797438
